Ki írta az 'Egri csillagok' című regényt?;Móricz Zsigmond;Jókai Mór;Gárdonyi Géza;Arany János;Gárdonyi Géza
Melyik művet írta Madách Imre?;A kőszívű ember fiai;Az ember tragédiája;Toldi;Bánk bán;Az ember tragédiája
Ki a 'Toldi' trilógia szerzője?;Petőfi Sándor;Arany János;Babits Mihály;Vörösmarty Mihály;Arany János
Melyik költő írta a 'Himnusz'-t?;Kölcsey Ferenc;Vörösmarty Mihály;József Attila;Ady Endre;Kölcsey Ferenc
'A Pál utcai fiúk' című regényben ki vezette a vörösingeseket?;Nemecsek Ernő;Áts Feri;Boka János;Geréb Dezső;Áts Feri
'A kőszívű ember fiai' szerzője?;Jókai Mór;Mikszáth Kálmán;Gárdonyi Géza;Kosztolányi Dezső;Jókai Mór
'Szeptember végén' című verset ki írta?;Ady Endre;Petőfi Sándor;Radnóti Miklós;Babits Mihály;Petőfi Sándor
'A walesi bárdok' című ballada szerzője?;Arany János;Kölcsey Ferenc;Vörösmarty Mihály;József Attila;Arany János
'Nyugat' című folyóirat első nemzedékének tagja volt:;Ady Endre;Pilinszky János;Kosztolányi Dezső;Radnóti Miklós;Ady Endre
'Szózat' című költeményt ki írta?;Vörösmarty Mihály;Kölcsey Ferenc;Arany János;József Attila;Vörösmarty Mihály
